Origin Country,Named Delivery Place [NDP],Incoterm,Commodity,Specific Commodity,GMO,Packaging Type,Price      ($/mt),Last Updated,Capacity (mt),Lead Time (days),Source
TURKEY,DAMASCUS (SYRIA),FCA,Bulgur Wheat (FOOD - CEREALS & GRAINS),BULGUR WHEAT,Non GMO,Bag,500,41554,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),FCA,Pasta (FOOD - CEREALS & GRAINS),PASTA,Non GMO,Bag,850,41554,100000,60,SCIPS
CANADA,VANCOUVER (CANADA),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE RED LENTILS,Non GMO,Bag,0,42411,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,0,41233,100000,60,SCIPS
USA,RICHMOND (USA),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Sachet,2520,42648,100000,60,SCIPS
MYANMAR,SITTWE (MYANMAR),DAP,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,445.5,41554,100000,60,SCIPS
NEPAL,NEPALGUNJ (NEPAL),FCA,Rice (FOOD - CEREALS & GRAINS),RAW RICE,Non GMO,Bag,856,41557,100000,60,SCIPS
INDIA,NEPALGUNJ (NEPAL),FCA,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,817,41557,100000,60,SCIPS
SYRIA,DAMASCUS (SYRIA),DAP,Bulgur Wheat (FOOD - CEREALS & GRAINS),BULGUR WHEAT,Non GMO,Bag,418,42775,100000,60,SCIPS
COLOMBIA,BOGOTA (COLOMBIA),DAP,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,579.92,42013,100000,60,SCIPS
MALI,BAMAKO (MALI),FCA,Rice (FOOD - CEREALS & GRAINS),100% BROKEN RICE,Non GMO,Bag,685,41564,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),FAFFA,Non GMO,Bag,580.19,42209,100000,60,SCIPS
BELIZE,BELIZE CITY (BELIZE),EXW,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bulk,253.46,42072,100000,60,SCIPS
TURKEY,ERBIL (IRAQ),DAP,Rations (FOOD - PRE-PACKAGED FOOD PARCELS),RATIONS,Non GMO,Carton,670,42222,100000,60,SCIPS
PAKISTAN,KARACHI (PAKISTAN),EXW,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),HIGH ENERGY BISCUITS,Non GMO,Packet,0,42072,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Beans (FOOD - PULSES & VEGETABLES),WHITE BEANS,Non GMO,Bag,620,42411,100000,60,SCIPS
RUSSIA,MERSIN (TURKEY),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,520,42502,100000,60,SCIPS
CANADA,MERSIN (TURKEY),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE RED LENTILS,Non GMO,Bag,728,42411,100000,60,SCIPS
BRAZIL,RIO GRANDE (BRAZIL),FOB,Rice (FOOD - CEREALS & GRAINS),15% BROKEN RICE,Non GMO,Bag,485,42082,100000,60,SCIPS
INDIA,KANDLA (INDIA),FOB,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bulk,245,42101,100000,60,SCIPS
KENYA,MWINGI (KENYA),FCA,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,0,42103,100000,60,SCIPS
MALAWI,LILONGWE (MALAWI),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,255.17,42783,100000,60,SCIPS
MALAWI,BLANTYRE (MALAWI),FCA,Peas (FOOD - PULSES & VEGETABLES),PIGEON PEAS,Non GMO,Bag,510.34,42783,100000,60,SCIPS
ZAMBIA,LUSAKA (ZAMBIA),FCA,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bag,0,42384,100000,60,SCIPS
ZAMBIA,LUSAKA (ZAMBIA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,317,42748,100000,60,SCIPS
ZAMBIA,MBALA (ZAMBIA),FCA,Beans (FOOD - PULSES & VEGETABLES),BEANS,Non GMO,Bag,755.49,42685,100000,60,SCIPS
MOZAMBIQUE,MAPUTO (MOZAMBIQUE),DAP,Peas (FOOD - PULSES & VEGETABLES),COW PEAS,Non GMO,Bag,649.8,42783,100000,60,SCIPS
MOZAMBIQUE,MAPUTO (MOZAMBIQUE),DAP,Peas (FOOD - PULSES & VEGETABLES),PIGEON PEAS,Non GMO,Bag,677.5,42783,100000,60,SCIPS
MADAGASCAR,TANANARIVE (MADAGASCAR),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Bag,3040,42502,100000,60,SCIPS
UGANDA,KAMPALA (UGANDA),FCA,Sorghum/Millet (FOOD - CEREALS & GRAINS),SORGHUM/MILLET,Non GMO,Bag,398,42811,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT YELLOW PEAS,Non GMO,Bag,0,41432,100000,60,SCIPS
ETHIOPIA,ADDIS ABABA (ETHIOPIA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,314,42209,100000,60,SCIPS
MADAGASCAR,TANANARIVE (MADAGASCAR),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),PLUMPY DOZ,Non GMO,Bag,3840,42502,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,41740,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,0,41250,100000,60,SCIPS
USA,HOUSTON (USA),FOB,Lentils (FOOD - PULSES & VEGETABLES),WHOLE RED LENTILS,Non GMO,Bag,1279,42411,100000,60,SCIPS
MEXICO,PUERTO PROGRESO (MEXICO),FOB,Vegetable Oil (FOOD - OILS & FATS),SOYA BEAN OIL,Non GMO,Pet Bottle,1260,42699,100000,60,SCIPS
TANZANIA,KIGOMA (TANZANIA),EXW,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,270,42615,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (WSB+) WITH SUGAR,Non GMO,Bag,507,42129,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Sugar (FOOD - MISCELLANEOUS),WHITE SUGAR,Non GMO,Bag,0,42629,100000,60,SCIPS
ZAMBIA,LUSAKA (ZAMBIA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,430,42783,100000,60,SCIPS
IRELAND,LA LIBERTAD (EL SALVADOR),DAP,Dried Whole Milk (FOOD - DAIRY PRODUCTS),DRIED WHOLE MILK,Non GMO,Bag,5050,41410,100000,60,SCIPS
TURKEY,DAMASCUS (SYRIA),DAP,Canned Vegetables (FOOD - PULSES & VEGETABLES),CANNED VEGETABLES,Non GMO,Bag,800,41451,100000,60,SCIPS
SYRIA,DAMASCUS (SYRIA),DAP,Biscuits (FOOD - MIXED & BLENDED FOODS),BISCUITS,Non GMO,Bag,0,41442,100000,60,SCIPS
INDIA,DAMASCUS (SYRIA),FCA,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,700,41554,100000,60,SCIPS
MYANMAR,YANGON (MYANMAR),DAP,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,395,41554,100000,60,SCIPS
MYANMAR,YANGON (MYANMAR),DAP,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,0,41554,100000,60,SCIPS
MALAWI,BLANTYRE (MALAWI),FCA,Beans (FOOD - PULSES & VEGETABLES),BEANS,Non GMO,Bag,965.52,42783,100000,60,SCIPS
TANZANIA,ISAKA (TANZANIA),DAP,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,0,42223,100000,60,SCIPS
EGYPT,ALEXANDRIA (EGYPT),FOB,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),DATE BARS,Non GMO,Bag,0,42076,100000,60,SCIPS
SENEGAL,DAKAR (SENEGAL),FCA,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,93.55,41626,100000,60,SCIPS
SENEGAL,ABIDJAN (CÔTE D'IVOIRE),CFR,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,135.41,41626,100000,60,SCIPS
SENEGAL,DOUALA (CAMEROON),CFR,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,161.65,41626,100000,60,SCIPS
SENEGAL,BANJUL (GAMBIA),DAP,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,150.11,41626,100000,60,SCIPS
PAKISTAN,KARACHI (PAKISTAN),EXW,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Packet,2200,42598,100000,60,SCIPS
INDIA,MANESAR (INDIA),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),PLUMPY DOZ,Non GMO,Sachet,2450,42711,100000,60,SCIPS
RWANDA,KIGALI (RWANDA),DAP,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,600,42171,100000,60,SCIPS
TANZANIA,SUMBAWANGA (TANZANIA),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,42419,100000,60,SCIPS
TANZANIA,MPANDA (TANZANIA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41880,100000,60,SCIPS
TANZANIA,ISAKA (TANZANIA),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41880,100000,60,SCIPS
INDIA,MUMBAI (INDIA),FOB,Micronutrition Powde (FOOD - MISCELLANEOUS),MICRONUTRITION POWDER,Non GMO,Sachet,16400,42584,100000,60,SCIPS
DEM. REP. CONGO,LUBUMBASHI (DEM. REP. CONGO),DAP,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,600,42748,100000,60,SCIPS
EGYPT,DAMASCUS (SYRIA),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,846,41598,100000,60,SCIPS
TURKEY,MERSIN (TURKEY),FOB,Pasta (FOOD - CEREALS & GRAINS),PASTA,Non GMO,Packet,569,42118,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Maize Meal (FOOD - CEREALS & GRAINS),YELLOW MAIZE MEAL,Non GMO,Bag,388,41872,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,869,42703,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,372,42804,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),YELLOW MAIZE MEAL,Non GMO,Bag,376,42398,100000,60,SCIPS
NAMIBIA,WALVIS BAY (NAMIBIA),FCA,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,80,42335,100000,60,SCIPS
ITALY,VENEZIA (ITALY),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (WSB+) WITH SUGAR,Non GMO,Bag,485,42276,100000,60,SCIPS
BELGIUM,ANTWERP (BELGIUM),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (WSB+) WITH SUGAR,Non GMO,Bag,475,42276,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,GMO,Bag,537,42657,100000,60,SCIPS
USA,NEW ORLEANS (USA),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,430,42815,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Wheat Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (WSB+) WITH SUGAR,Non GMO,Bag,0,40914,100000,60,SCIPS
UKRAINE,IL'ICHEVSK (UKRAINE),FOB,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bulk,183.48,42712,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Vegetable Oil (FOOD - OILS & FATS),VEGETABLE OIL,Non GMO,Pet Bottle,0,42586,100000,60,SCIPS
ARGENTINA,SAN LORENZO (ARGENTINA),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,GMO,Bag,0,41558,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Beans (FOOD - PULSES & VEGETABLES),SOYA BEANS,Non GMO,Bag,526,42783,100000,60,SCIPS
CANADA,MONTREAL (CANADA),DAT,Lentils (FOOD - PULSES & VEGETABLES),WHOLE RED LENTILS,Non GMO,Bag,971,42411,100000,60,SCIPS
SOUTH AFRICA,DURBAN (SOUTH AFRICA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,331,42783,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,221,42804,100000,60,SCIPS
SOUTH AFRICA,RANDFONTEIN (SOUTH AFRICA),FCA,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,GMO,Bag,372,42783,100000,60,SCIPS
NORWAY,OSLO (NORWAY),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Bag,0,41550,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Split Lentils (FOOD - PULSES & VEGETABLES),SPLIT RED LENTILS,Non GMO,Bag,0,42411,100000,60,SCIPS
LEBANON,DAMASCUS (SYRIA),FOB,Canned Pulses (FOOD - PULSES & VEGETABLES),CANNED PULSES,Non GMO,Bag,0,41581,100000,60,SCIPS
TANZANIA,ISAKA (TANZANIA),FCA,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,0,41880,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Beans (FOOD - PULSES & VEGETABLES),HORSE BEANS,Non GMO,Bag,410,42153,100000,60,SCIPS
UTD.ARAB EMIR.,DAMASCUS (SYRIA),DAP,High Energy Biscuits (FOOD - MIXED & BLENDED FOODS),DATE BARS,Non GMO,Bag,0,42069,100000,60,SCIPS
SENEGAL,COTONOU (BENIN),CFR,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,151.16,41626,100000,60,SCIPS
SENEGAL,LOME (TOGO),CFR,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,148.01,41626,100000,60,SCIPS
TURKEY,ISKENDERUN (TURKEY),FOB,Pasta (FOOD - CEREALS & GRAINS),PASTA,Non GMO,Packet,590,42082,100000,60,SCIPS
HONDURAS,SAN PEDRO SULA (HONDURAS),EXW,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41668,100000,60,SCIPS
MEXICO,PORT-AU-PRINCE (HAITI),CFR,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,277,41675,100000,60,SCIPS
HONDURAS,PUERTO CORTEZ (HONDURAS),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41683,100000,60,SCIPS
COSTA RICA,LIMON (COSTA RICA),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,0,41690,100000,60,SCIPS
BOLIVIA,TARIJA (BOLIVIA),DAP,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,657.87,42254,100000,60,SCIPS
GUATEMALA,CAUCEDO (DOMINICAN REP.),CFR,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (CSB++),GMO,Bag,0,41718,100000,60,SCIPS
INDIA,MANESAR (INDIA),FCA,Ready To Use Supplem (FOOD - MIXED & BLENDED FOODS),SUPPLEMENTARY PLUMPY,Non GMO,Sachet,2350,42648,100000,60,SCIPS
TURKEY,QUAMISHLI (SYRIA),DAP,Rations (FOOD - PRE-PACKAGED FOOD PARCELS),RATIONS,Non GMO,Carton,635,42222,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),FOB,Wheat (FOOD - CEREALS & GRAINS),SOFT WHEAT,Non GMO,Bag,466.11,41814,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),FOB,Peas (FOOD - PULSES & VEGETABLES),PEAS,Non GMO,Bag,613.11,41814,100000,60,SCIPS
ETHIOPIA,NAZARETH (ETHIOPIA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,594.11,41814,100000,60,SCIPS
GUATEMALA,FRAIJANES (GUATEMALA),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41886,100000,60,SCIPS
USA,GALVESTON (USA),FOB,Maize Meal (FOOD - CEREALS & GRAINS),YELLOW MAIZE MEAL,GMO,Bag,690,41886,100000,60,SCIPS
BELIZE,BELIZE CITY (BELIZE),FOB,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bag,625,42395,100000,60,SCIPS
GUATEMALA,SAN PEDRO SULA (HONDURAS),DAP,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,736.6,41886,100000,60,SCIPS
GUATEMALA,GUATEMALA (GUATEMALA),EXW,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,0,42478,100000,60,SCIPS
HONDURAS,LA CEIBA (HONDURAS),DAP,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,800,42570,100000,60,SCIPS
DEM. REP. CONGO,GOMA (DEM. REP. CONGO),DAP,Maize Meal (FOOD - CEREALS & GRAINS),WHITE MAIZE MEAL,Non GMO,Bag,630,42685,100000,60,SCIPS
NICARAGUA,MANAGUA (NICARAGUA),DAP,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,955.82,42047,100000,60,SCIPS
ARGENTINA,SAN PEDRO SULA (HONDURAS),DAP,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,0,41956,100000,60,SCIPS
ARGENTINA,COMAYAGUA (HONDURAS),DAP,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,0,41956,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Split Peas (FOOD - PULSES & VEGETABLES),SPLIT GREEN PEAS,Non GMO,Bag,600,42709,100000,60,SCIPS
PARAGUAY,ASUNCION (PARAGUAY),DAP,Wheat Flour (FOOD - CEREALS & GRAINS),WHEAT FLOUR,Non GMO,Bag,556.75,41974,100000,60,SCIPS
HONDURAS,PUERTO CORTEZ (HONDURAS),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,GMO,Bag,725,42417,100000,60,SCIPS
HONDURAS,PUERTO CORTEZ (HONDURAS),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,796.8,42074,100000,60,SCIPS
URUGUAY,CORINTO (NICARAGUA),CFR,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,0,42037,100000,60,SCIPS
NICARAGUA,MANAGUA (NICARAGUA),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+) WITH SUGAR,Non GMO,Bag,0,42342,100000,60,SCIPS
BOLIVIA,LA PAZ (BOLIVIA),DAP,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,280.98,42082,100000,60,SCIPS
FRANCE,NANTES (FRANCE),FOB,Barley (FOOD - CEREALS & GRAINS),BARLEY,Non GMO,Bag,317,42122,100000,60,SCIPS
CHILE,SAN VICENTE (CHILE),FOB,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,904,42157,100000,60,SCIPS
HONDURAS,JUTIAPA - AT (HONDURAS),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,600.42,42570,100000,60,SCIPS
HONDURAS,TOCOA -CL (HONDURAS),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,600.42,42570,100000,60,SCIPS
HONDURAS,CHOLUTECA (HONDURAS),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,600.42,42570,100000,60,SCIPS
TANZANIA,DODOMA (TANZANIA),FCA,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,753.43,42503,100000,60,SCIPS
CANADA,MERSIN (TURKEY),FOB,Chickpeas (FOOD - PULSES & VEGETABLES),CHICKPEAS,Non GMO,Bag,900,42411,100000,60,SCIPS
ARGENTINA,CORINTO (NICARAGUA),CIF,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1715,42165,100000,60,SCIPS
EL SALVADOR,CORINTO (NICARAGUA),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1543,42165,100000,60,SCIPS
ARGENTINA,CORINTO (NICARAGUA),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1025,42165,100000,60,SCIPS
LEBANON,DAMASCUS (SYRIA),FOB,Canned Pulses (FOOD - PULSES & VEGETABLES),CANNED PULSES,Non GMO,Can,0,41588,100000,60,SCIPS
ARGENTINA,ROSARIO (ARGENTINA),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,430,42746,100000,60,SCIPS
LEBANON,DAMASCUS (SYRIA),DAP,Canned Pulses (FOOD - PULSES & VEGETABLES),CANNED PULSES,Non GMO,Can,850,41933,100000,60,SCIPS
SYRIA,DAMASCUS (SYRIA),DAP,Iodised Salt (FOOD - MISCELLANEOUS),IODISED SALT,Non GMO,Bag,237,42375,100000,60,SCIPS
PERU,PAITA (PERU),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,0,41676,100000,60,SCIPS
ETHIOPIA,ADDIS ABABA (ETHIOPIA),FCA,Beans (FOOD - PULSES & VEGETABLES),HORSE BEANS,Non GMO,Bag,802.73,42209,100000,60,SCIPS
GUATEMALA,STO TOMAS CASTL (GUATEMALA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41697,100000,60,SCIPS
GUATEMALA,PUERTO QUETZAL (GUATEMALA),FOB,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL PLUS (CSB++),Non GMO,Bag,1706.51,42709,100000,60,SCIPS
EL SALVADOR,ACAJUTLA (EL SALVADOR),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,550,42787,100000,60,SCIPS
MEXICO,ACAPULCO D JUAR (MEXICO),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,0,41697,100000,60,SCIPS
EL SALVADOR,SAN SALVADOR (EL SALVADOR),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,437.61,41830,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,GMO,Bag,715,42055,100000,60,SCIPS
ETHIOPIA,DJIBOUTI (DJIBOUTI),FOB,Beans (FOOD - PULSES & VEGETABLES),PINTO BEANS,Non GMO,Bag,650,42069,100000,60,SCIPS
NICARAGUA,MANAGUA (NICARAGUA),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1600.46,42304,100000,60,SCIPS
NICARAGUA,MANAGUA (NICARAGUA),CIF,Beans (FOOD - PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),Non GMO,Bag,0,41726,100000,60,SCIPS
BELIZE,BELIZE CITY (BELIZE),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,1332.4,42072,100000,60,SCIPS
HAITI,GONAIVES (HAITI),FCA,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,936.17,42089,100000,60,SCIPS
ARGENTINA,BUENOS AIRES (ARGENTINA),FOB,Maize (FOOD - CEREALS & GRAINS),MAIZE,Non GMO,Bag,550,41922,100000,60,SCIPS
CANADA,MONTREAL (CANADA),FOB,Oat (FOOD - CEREALS & GRAINS),OAT,Non GMO,Bag,450,41767,100000,60,SCIPS
GUATEMALA,GUATEMALA (GUATEMALA),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41886,100000,60,SCIPS
GUATEMALA,FRAIJANES (GUATEMALA),DAP,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,1062.71,42348,100000,60,SCIPS
DEM. REP. CONGO,MBANDAKA (DEM. REP. CONGO),FCA,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,800,42475,100000,60,SCIPS
BELIZE,BELIZE CITY (BELIZE),FOB,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,551,42395,100000,60,SCIPS
GUATEMALA,GUATEMALA (GUATEMALA),FCA,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),GMO,Bag,0,41886,100000,60,SCIPS
BRAZIL,RIO GRANDE (BRAZIL),FOB,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,920,41956,100000,60,SCIPS
DEM. REP. CONGO,KINSHASA (DEM. REP. CONGO),DAP,Maize (FOOD - CEREALS & GRAINS),YELLOW MAIZE,Non GMO,Bag,0,42475,100000,60,SCIPS
EL SALVADOR,LA LIBERTAD (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,41974,100000,60,SCIPS
HONDURAS,SAN LORENZO (HONDURAS),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,600.42,42570,100000,60,SCIPS
